hen_lay,region_shortname,province_name,district_name,ward_name,deliver_warehouse_id,warehouse_name,nhom_kh,nhom_kl,so_don
2026-07-24,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đức Mạnh,230900.00%,(DNO) Đức Lập,SME,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Đạ M'ri,189600.00%,(LDO) Đạ Huoai,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Lâm Đồng,Thành phố Đà Lạt,Xã Xuân Thọ,2211600000.00%,(LDO) Xuân Trường - Đà Lạt,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đức Minh,230900.00%,(DNO) Đức Lập,SME,>50kg,2
2026-07-24,NTB,Bình Thuận,Thành phố Phan Thiết,Xã Tiến Lợi,2129000000.00%,(BTH) Tuyên Quang,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Hàm Tân,Xã Tân Thắng,2159400000.00%,(BTH) Phước Hội,SME,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đơn Dương,Xã Ka Đô,2137700000.00%,(LDO) Đơn Dương,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Hàm Thuận Nam,Xã Tân Lập,2068700000.00%,(BTH) Hàm Tân,SME,>50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Krông Nô,Xã Quảng Phú,2059100000.00%,(DNO) Krông Nô,SME,>50kg,2
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Đan Phượng,2242500000.00%,(LDO) Tân Hà Lâm Hà,Shopee-Bulky,>50kg,2
2026-07-24,NTB,Bình Thuận,Thành phố Phan Thiết,Phường Xuân An,2132000000.00%,(BTH) Phú Thủy,SME,>50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Vạn Ninh,Thị trấn Vạn Giã,2104600000.00%,(KHO) Vạn Ninh,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Xã Ninh Thân,2069400000.00%,(KHO) Ninh Hòa 1,SME,>50kg,1
2026-07-24,NTB,Ninh Thuận,Huyện Ninh Sơn,Xã Quảng Sơn,2031600000.00%,(NTH) Ninh Sơn,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Tánh Linh,Xã Măng Tố,235700.00%,(BTH) Đồng Kho,SME,>50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Xã Ninh Phụng,2069400000.00%,(KHO) Ninh Hòa 1,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đơn Dương,Thị trấn Thạnh Mỹ,2137700000.00%,(LDO) Đơn Dương,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Khánh Hòa,Thành phố Cam Ranh,Xã Cam Lập,2283000000.00%,(KHO) Cam Linh,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Phước Long,2274600000.00%,(KHO) Nam Nha Trang 1,SME,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Hoài Đức,2145600000.00%,(BTH) Đức Linh,SME,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Cam Lâm,Xã Cam An Nam,2058800000.00%,(KHO) Cam Lâm 2,SME,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Tánh Linh,Xã Bắc Ruộng,235700.00%,(BTH) Đồng Kho,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Xã Ninh Vân,2156900000.00%,(KHO) Đông Ninh Hòa,SME,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Phường Ninh Thủy,2156900000.00%,(KHO) Đông Ninh Hòa,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Di Linh,Xã Tân Lâm,2094200000.00%,(LDO) Di Linh,SME,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Liên Hà,2242500000.00%,(LDO) Tân Hà Lâm Hà,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đức Trọng,Xã Ninh Loan,2084900000.00%,(LDO) Ninh Gia,SME,30-50kg,1
2026-07-24,NTB,Ninh Thuận,Huyện Ninh Hải,Xã Xuân Hải,2064800000.00%,(NTH) Ninh Chử,Khác,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện đảo Phú Quý,Xã Ngũ Phụng,2245200000.00%,(BTH) Phú Quý,SME,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Đạ Oai,189600.00%,(LDO) Đạ Huoai,SME,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Thành phố Đà Lạt,Phường 3,2112600000.00%,(LDO) Xuân Hương - Đà Lạt,SME,30-50kg,2
2026-07-24,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đắk R'La,230900.00%,(DNO) Đức Lập,SME,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Đức Linh,Xã Mê Pu,2145600000.00%,(BTH) Đức Linh,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Ninh Thuận,Huyện Thuận Nam,Xã Phước Diêm,2235700000.00%,(NTH) Thuận Nam,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Xã Ninh Phụng,2069400000.00%,(KHO) Ninh Hòa 1,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Di Linh,Xã Tân Lâm,2094200000.00%,(LDO) Di Linh,Khác,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Hàm Thuận Bắc,Xã Thuận Minh,2248300000.00%,(BTH) Hàm Thuận,SME,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên An,2277400000.00%,(KHO) Diên Khánh 1,Shopee-Bulky,30-50kg,2
2026-07-24,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Nhân Đạo,2026900300.00%,(DNO) Nhân Cơ,Khác,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đắk Sắk,230900.00%,(DNO) Đức Lập,SME,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Tuy Phong,Thị trấn Phan Rí Cửa,2254900000.00%,(BTH) Phan Rí Cửa,SME,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Phường Ninh Hiệp,2054300000.00%,(KHO) Ninh Hòa 2,Shopee-Bulky,30-50kg,2
2026-07-24,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Đạ Oai,189600.00%,(LDO) Đạ Huoai,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện đảo Phú Quý,Xã Tam Thanh,2245200000.00%,(BTH) Phú Quý,SME,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đắk Lao,230900.00%,(DNO) Đức Lập,Shopee-Bulky,30-50kg,2
2026-07-24,NTB,Ninh Thuận,Huyện Thuận Nam,Xã Cà Ná,2235700000.00%,(NTH) Thuận Nam,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Bắc Bình,Xã Phan Lâm,2063300000.00%,(BTH) Bắc Bình,SME,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đức Trọng,Xã Ninh Gia,2084900000.00%,(LDO) Ninh Gia,Shopee-Bulky,30-50kg,2
2026-07-24,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Tân Tiến,2270400000.00%,(KHO) Nam Nha Trang 2,Shopee-Bulky,30-50kg,4
2026-07-24,NTB,Ninh Thuận,Huyện Bác Ái,Xã Phước Thắng,2031600000.00%,(NTH) Ninh Sơn,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Tân Tiến,2270400000.00%,(KHO) Nam Nha Trang 2,SME,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Khánh Sơn,Xã Sơn Bình,2078400000.00%,(KHO) Khánh Sơn,SME,30-50kg,2
2026-07-24,NTB,Đắk Nông,Huyện Krông Nô,Xã Nâm Nung,2059100000.00%,(DNO) Krông Nô,SME,30-50kg,1
2026-07-24,NTB,Ninh Thuận,Huyện Ninh Hải,Xã Vĩnh Hải,2064800000.00%,(NTH) Ninh Chử,SME,30-50kg,1
2026-07-24,NTB,Bình Thuận,Thành phố Phan Thiết,Xã Tiến Lợi,2129000000.00%,(BTH) Tuyên Quang,Khác,30-50kg,1
2026-07-24,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Xã Thành Hải,2015000000.00%,(NTH) Bảo An,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Đức Linh,Thị trấn Võ Xu,2145600000.00%,(BTH) Đức Linh,Khác,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Vạn Ninh,Xã Vạn Thọ,2172200000.00%,(KHO) Tu Bông,Khác,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Di Linh,Xã Gung Ré,2094200000.00%,(LDO) Di Linh,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đam Rông,Xã Đạ Rsal,2067000000.00%,(LDO) Đam Rông 3,Shopee-Bulky,30-50kg,2
2026-07-24,NTB,Bình Thuận,Huyện Hàm Thuận Nam,Xã Hàm Cường,2129000000.00%,(BTH) Tuyên Quang,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Phi Tô,2129400000.00%,(LDO) Đinh Văn Lâm Hà,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Cam Lâm,Xã Cam Phước Tây,2058800000.00%,(KHO) Cam Lâm 2,Shopee-Bulky,30-50kg,2
2026-07-24,NTB,Bình Thuận,Huyện Bắc Bình,Xã Phan Tiến,2293400000.00%,(BTH) Lương Sơn,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Ninh Thuận,Huyện Ninh Phước,Xã Phước Hải,2049900000.00%,(NTH) Phước Dinh,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Đức Linh,Xã Nam Chính,2145600000.00%,(BTH) Đức Linh,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Phước Cát,2066900000.00%,(LDO) Cát Tiên,SME,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Phú Sơn,2129400000.00%,(LDO) Đinh Văn Lâm Hà,SME,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đức Trọng,Xã Tà Năng,2084900000.00%,(LDO) Ninh Gia,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đơn Dương,Thị trấn Thạnh Mỹ,2137700000.00%,(LDO) Đơn Dương,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Cư Jút,Xã Nam Dong,2067300000.00%,(DNO) Cư Jút,SME,30-50kg,1
