warehouse_id,Bưu cục,BC,Tỉnh,AM
22425000,(LDO) Tân Hà Lâm Hà,(LDO) Tân Hà Lâm Hà,Lâm Đồng,Huỳnh Thị Kim Chi
21594000,(BTH) Phước Hội,(BTH) Phước Hội,Bình Thuận,Huỳnh Tấn Hiền
2357,(BTH) Đồng Kho,(BTH) Đồng Kho,Bình Thuận,Huỳnh Tấn Hiền
21456000,(BTH) Đức Linh,(BTH) Đức Linh,Bình Thuận,Huỳnh Tấn Hiền
21067000,(BTH) Tân Hải,(BTH) Tân Hải,Bình Thuận,Huỳnh Tấn Hiền
22329000,(BTH) ĐL Trà Tân,(BTH) ĐL Trà Tân,Bình Thuận,Huỳnh Tấn Hiền
21688000,(LDO) 1 Bảo Lộc,(LDO) 1 Bảo Lộc,Lâm Đồng,Hồng Bích Nga
20785000,(LDO) B'Lao,(LDO) B'Lao,Lâm Đồng,Hồng Bích Nga
22222000,(LDO) Bảo Lâm 1,(LDO) Bảo Lâm 1,Lâm Đồng,Hồng Bích Nga
23015000,(LDO) Bảo Lâm 3,(LDO) Bảo Lâm 3,Lâm Đồng,Hồng Bích Nga
22759000,(LDO) Hòa Ninh,(LDO) Hòa Ninh,Lâm Đồng,Hồng Bích Nga
20269003,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Đắk Nông,Trần Văn Phước
