ngay_tao_don,region_shortname,province_name,district_name,ward_name,deliver_warehouse_id,warehouse_name,nhom_kh,nhom_kl,so_don
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã La Ngâu,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đức Thuận,235700.00%,(BTH) Đồng Kho,SME,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Nghị Đức,235700.00%,(BTH) Đồng Kho,TTS,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Thị trấn Lạc Tánh,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Suối Kiết,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,1. 10-20kg,3
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Gia Huynh,235700.00%,(BTH) Đồng Kho,TTS,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đồng Kho,235700.00%,(BTH) Đồng Kho,SME,2. 20-30kg,2
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Bắc Ruộng,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đức Phú,235700.00%,(BTH) Đồng Kho,SME,2. 20-30kg,2
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Gia Huynh,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đồng Kho,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,2. 20-30kg,2
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Thị trấn Lạc Tánh,235700.00%,(BTH) Đồng Kho,SME,2. 20-30kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Thị trấn Lạc Tánh,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đức Thuận,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,2. 20-30kg,2
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Măng Tố,235700.00%,(BTH) Đồng Kho,SME,2. 20-30kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Măng Tố,235700.00%,(BTH) Đồng Kho,SME,3. 30-50kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đức Phú,235700.00%,(BTH) Đồng Kho,SME,3. 30-50kg,7
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Măng Tố,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,3. 30-50kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đức Phú,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,3. 30-50kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Gia Huynh,235700.00%,(BTH) Đồng Kho,TTS Bulky,3. 30-50kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Thị trấn Lạc Tánh,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,4. >50kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đồng Kho,235700.00%,(BTH) Đồng Kho,SME,4. >50kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đức Phú,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,4. >50kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Suối Kiết,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,4. >50kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Lương,239900.00%,(KHO) Bắc Nha Trang,SHOPEE Bulky,1. 10-20kg,5
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Phương,239900.00%,(KHO) Bắc Nha Trang,SHOPEE Bulky,1. 10-20kg,4
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Hải,239900.00%,(KHO) Bắc Nha Trang,SHOPEE Bulky,1. 10-20kg,13
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Phước,239900.00%,(KHO) Bắc Nha Trang,SME,1. 10-20kg,14
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Phước,239900.00%,(KHO) Bắc Nha Trang,SHOPEE Bulky,1. 10-20kg,15
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Thọ,239900.00%,(KHO) Bắc Nha Trang,SHOPEE Bulky,1. 10-20kg,7
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Phước,239900.00%,(KHO) Bắc Nha Trang,TTS,1. 10-20kg,2
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Hòa,239900.00%,(KHO) Bắc Nha Trang,SME,1. 10-20kg,6
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Hải,239900.00%,(KHO) Bắc Nha Trang,SME,1. 10-20kg,10
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Phương,239900.00%,(KHO) Bắc Nha Trang,SME,1. 10-20kg,2
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Hòa,239900.00%,(KHO) Bắc Nha Trang,SHOPEE Bulky,1. 10-20kg,17
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Phương,239900.00%,(KHO) Bắc Nha Trang,TTS,1. 10-20kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Lương,239900.00%,(KHO) Bắc Nha Trang,SME,1. 10-20kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Phước,239900.00%,(KHO) Bắc Nha Trang,SHOPEE Bulky,2. 20-30kg,1
