Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
22242000,GYYB38MM,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(DNO) Bắc Gia Nghĩa
21377000,GYYDC6A9,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
22242000,VNGH80022759105,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(DNO) Bắc Gia Nghĩa
22312000,GYYP7D7R,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22242000,VNGH80710909105,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(DNO) Bắc Gia Nghĩa
22242000,VNGH80223479002,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(DNO) Bắc Gia Nghĩa
22242000,GYYAELBU,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,(DNO) Bắc Gia Nghĩa
22242000,GYYXR9CG,Luân chuyển giao,SHOPEE,Không cần đóng kiện,12_24,(DNO) Bắc Gia Nghĩa
21377000,GYYD9GRK,Luân chuyển trả,OTHER,Không cần đóng kiện,6_12,(LDO) Đơn Dương
22312000,GYYP6MR9,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22312000,GYYPDKAP,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22312000,GYYPPXME,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22312000,GYYPMVPQ,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
21377000,GYYD4PA4,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
21377000,GYYDWVX8,Luân chuyển trả,OTHER,Không cần đóng kiện,6_12,(LDO) Đơn Dương
21377000,GYYDEWDX,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
21377000,GYYPQXKG,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
21377000,GYYP7YKL,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
21687000,GYYDQVCR,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 2
21687000,GYYDLTTD,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 2
21687000,GYYDFQ8K,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 2
21687000,GYYDFGVP,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 2
21687000,GYYDDPXN,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 2
22483000,GYYHWQCC,Luân chuyển giao,SHOPEE,Chưa đóng kiện,0_6,(BTH) Hàm Thuận
21687000,NVS842433817,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 2
22312000,GYYBV98H,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22483000,GYY969EK,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thuận
21687000,GYYDENTW,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 2
22483000,GYYDBRLT,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thuận
22222000,VNGH80896199105,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Bảo Lâm 1
21722000,GYYBCY8X,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(KHO) Tu Bông
22363000,GYYBEPQ7,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(KHO) Nam Nha Trang 3
22394000,VNGH80907779101,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(DNO) Quảng Tín
20320000,GYY64C6N,Luân chuyển trả,OTHER,Không cần đóng kiện,72_96,(KHO) Tây Nha Trang
22357000,VNGH80967419202,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(NTH) Thuận Nam
20269003,GYY6Y7HH,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(DNO) Nhân Cơ
20942000,VNGH80929499101,Luân chuyển trả,TTS,Chưa đóng kiện,24_36,(LDO) Di Linh
22389000,VNGH80538159010,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Đức Trọng 1
20495000,GYY8QCT7,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,(KHO) Nha Trang
21537000,GYYD834E,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 2
22425000,GYY9QL6T,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
21396000,GYYKWU8F,Luân chuyển giao,OTHER,Không cần đóng kiện,6_12,(BTH) Hàm Thắng
22051000,GYYD7FFM,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22242000,GYYTQFY7,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,(DNO) Bắc Gia Nghĩa
22425000,GYY9N4NA,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
21396000,GYYHHBQN,Luân chuyển trả,SHOPEE,Chưa đóng kiện,12_24,(BTH) Hàm Thắng
22425000,GYY9YAQB,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
22051000,GYYDGPQA,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22425000,GYY9YREY,Luân chuyển trả,OTHER,Không cần đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
22051000,GYYDGYRF,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22425000,GYY6QNB4,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
22425000,GYY66HFN,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
22425000,GYY6B8FF,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
22425000,GYY6EVNC,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
22394000,VNGH80728559103,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(DNO) Quảng Tín
22425000,GYYN3QQ7,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
22394000,VNGH80144559010,Luân chuyển trả,TTS,Không cần đóng kiện,6_12,(DNO) Quảng Tín
22394000,VNGH80618519105,Luân chuyển trả,TTS,Không cần đóng kiện,6_12,(DNO) Quảng Tín
22051000,GYYDUFK7,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22394000,VNGH80010139105,Luân chuyển trả,TTS,Không cần đóng kiện,6_12,(DNO) Quảng Tín
22312000,GYYBVPTB,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22051000,GYYD3AGP,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22312000,GYYBH3FU,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22051000,GYYD4P7H,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22051000,GYYD4PXH,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22242000,GYY4EF7B,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,(DNO) Bắc Gia Nghĩa
21396000,GYYHR7GW,Luân chuyển trả,SHOPEE,Chưa đóng kiện,12_24,(BTH) Hàm Thắng
22312000,FHS38508333,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22483000,GYYPFE4G,Luân chuyển trả,OTHER,Không cần đóng kiện,6_12,(BTH) Hàm Thuận
22222000,VNGH80693329107,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Bảo Lâm 1
