Cấp Quản Lý,Chi tiết,Loại Hàng,Time,Volume,% Gán,% GTC,% Chuyển trả,Leadtime,Sản Lượng Giao Thành Công,Sản Lượng Chuyển Trả,Sản Lượng Gán,Sản Lượng Trả,Sản Lượng Tồn,Sản Lượng Chưa Gán,% Chưa Gán,%Tồn,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-15 - Thứ 4,67,1,0.806,0.0149,16.41,54.002,0.9983,67,0.9983,11.9997,0,0,0.1791,67,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-03 - Thứ 6,94,1,0.7447,0.0213,18.03,70.0018,2.0022,94,2.0022,21.996,0,0,0.234,94,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-05 - Chủ Nhật,60,0.9833,0.7333,0.05,12.95,43.998,3,58.998,3,13.002,1.002,0.0167,0.2167,60,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-06-26 - Thứ 6,136,0.9412,0.6691,0.0515,15.74,90.9976,7.004,128.0032,7.004,37.9984,7.9968,0.0588,0.2794,136,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-06-21 - Chủ Nhật,94,1,0.8191,0.0106,21.61,76.9954,0.9964,94,0.9964,16.0082,0,0,0.1703,94,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-06-24 - Thứ 4,98,0.9898,0.8367,0.0102,17.99,81.9966,0.9996,97.0004,0.9996,15.0038,0.9996,0.0102,0.1531,98,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-17 - Thứ 6,104,1,0.7596,0,17.96,78.9984,0,104,0,25.0016,0,0,0.2404,104,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-11 - Thứ 7,116,1,0.8621,0.0086,21.19,100.0036,0.9976,116,0.9976,14.9988,0,0,0.1293,116,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-01 - Thứ 4,86,1,0.8256,0,14.65,71.0016,0,86,0,14.9984,0,0,0.1744,86,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-14 - Thứ 3,66,1,0.8182,0.0606,15.35,54.0012,3.9996,66,3.9996,7.9992,0,0,0.1212,66,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-16 - Thứ 5,107,1,0.8224,0.0093,15.52,87.9968,0.9951,107,0.9951,18.0081,0,0,0.1683,107,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-06-28 - Chủ Nhật,114,1,0.7018,0.0263,16.45,80.0052,2.9982,114,2.9982,30.9966,0,0,0.2719,114,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-12 - Chủ Nhật,124,1,0.7984,0.0242,17.99,99.0016,3.0008,124,3.0008,21.9976,0,0,0.1774,124,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-02 - Thứ 5,85,1,0.8706,0.0118,16.77,74.001,1.003,85,1.003,9.996,0,0,0.1176,85,Đắk Nông,NTB,AM Nhung
